DOI,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
10.1002-14651858.CD012992.pub2,21,4,15,23,55,27
10.1002-14651858.CD012028.pub2,21,9,8,19,56,4
10.1002-14651858.CD009409.pub2,9,2,11,4,51,19
10.1002-14651858.CD013079.pub3,12,3,11,7,41,19
10.1002-14651858.CD013740.pub2,23,3,23,27,61,11
10.1002-14651858.CD010173.pub3,21,8,32,25,77,33
10.1002-14651858.CD012219.pub2,11,8,17,12,51,9
10.1002-14651858.CD001732.pub3,19,7,23,10,49,30
10.1002-14651858.CD015374,19,3,13,14,63,12
10.1002-14651858.CD000023.pub5,15,2,18,10,49,14
10.1002-14651858.CD010120.pub3,11,2,14,10,69,24
10.1002-14651858.CD011059.pub4,4,4,14,8,27,10
10.1002-14651858.MR000051.pub2,12,2,19,22,92,20
10.1002-14651858.CD006649.pub8,7,10,13,8,43,6
10.1002-14651858.CD004044.pub5,4,1,4,16,19,11
10.1002-14651858.CD012121.pub2,14,3,12,13,52,14
10.1002-14651858.CD013242.pub2,16,4,13,19,35,14
10.1002-14651858.CD011300.pub3,9,2,19,19,44,10
10.1002-14651858.CD013756.pub2,34,9,38,49,98,38
10.1002-14651858.CD013720.pub3,12,3,12,7,57,10
10.1002-14651858.CD010995.pub3,12,4,11,10,55,16
10.1002-14651858.CD013776.pub2,22,4,11,20,57,23
10.1002-14651858.CD013552.pub2,28,3,25,16,65,18
10.1002-14651858.CD012778.pub2,13,3,14,17,52,7
10.1002-14651858.CD013531.pub2,31,3,11,23,60,23
10.1002-14651858.CD013755.pub2,21,11,16,47,65,11
10.1002-14651858.CD007894.pub3,8,0,16,14,45,7
10.1002-14651858.CD006604.pub2,21,5,7,7,40,17
10.1002-14651858.CD013307.pub3,31,7,23,25,90,21
10.1002-14651858.CD013700.pub2,13,2,21,12,57,17
10.1002-14651858.CD009985.pub2,25,16,25,19,71,60
10.1002-14651858.CD010008.pub5,13,2,11,8,34,11
10.1002-14651858.CD004692.pub5,13,7,19,23,69,12
10.1002-14651858.CD011879.pub2,18,4,28,10,44,29
10.1002-14651858.CD013437.pub2,22,6,29,20,100,36
10.1002-14651858.CD001919.pub4,24,12,28,38,45,21
10.1002-14651858.CD011499.pub3,12,6,6,16,45,15
10.1002-14651858.CD002997.pub5,19,6,21,25,52,17
10.1002-14651858.CD005529.pub3,13,5,27,19,59,9
10.1002-14651858.CD004407.pub5,20,9,33,35,84,16
10.1002-14651858.CD000099.pub4,28,7,14,9,120,29
10.1002-14651858.CD013134.pub3,14,1,23,6,45,29
10.1002-14651858.CD000985.pub3,23,8,28,23,67,18
10.1002-14651858.CD013096.pub2,12,2,13,6,47,13
10.1002-14651858.CD008521.pub6,22,3,31,25,97,18
10.1002-14651858.CD013647.pub2,23,17,30,36,103,28
10.1002-14651858.CD013757.pub2,6,6,16,9,73,23
10.1002-14651858.CD012775.pub2,26,7,32,56,106,25
10.1002-14651858.CD004293.pub4,25,19,28,29,96,25
10.1002-14651858.CD009286.pub4,16,2,13,22,58,4
10.1002-14651858.CD007125.pub3,22,16,33,34,137,34
10.1002-14651858.CD010156.pub3,20,4,25,16,81,19
10.1002-14651858.CD008350.pub3,17,4,16,12,77,18
10.1002-14651858.CD001145.pub5,11,4,14,9,46,13
10.1002-14651858.CD012325.pub2,33,7,21,23,112,29
10.1002-14651858.CD013290.pub2,17,7,26,11,90,28
10.1002-14651858.CD013678.pub2,14,2,9,24,32,11
10.1002-14651858.CD013572.pub2,30,13,19,35,81,13
10.1002-14651858.CD013385.pub2,16,9,23,32,65,25
10.1002-14651858.CD013874.pub2,35,4,31,21,119,33
10.1002-14651858.CD001800.pub4,9,1,19,13,55,10
10.1002-14651858.CD005356.pub3,28,7,23,29,102,32
10.1002-14651858.CD012565.pub2,8,7,15,6,49,11
10.1002-14651858.CD008583.pub3,11,6,3,7,44,12
10.1002-14651858.CD013864.pub2,18,1,17,14,51,10
10.1002-14651858.CD009027.pub4,7,3,8,8,50,14
10.1002-14651858.CD013658.pub2,25,8,26,28,84,23
10.1002-14651858.CD013870.pub2,29,8,35,34,94,24
10.1002-14651858.CD013265.pub2,20,8,47,43,75,39
