DOI,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
10.1002-14651858.CD005258.pub4,21,0,40,21,107,48
10.1002-14651858.CD013334.pub2,22,1,52,11,159,31
10.1002-14651858.CD006311.pub4,14,6,40,17,110,51
10.1002-14651858.CD000093.pub6,26,3,34,28,116,38
10.1002-14651858.CD015308,19,2,29,15,149,41
10.1002-14651858.CD013736.pub2,25,3,23,18,81,29
10.1002-14651858.CD013593.pub2,10,12,22,15,96,38
10.1002-14651858.CD004976.pub4,20,2,34,13,109,41
10.1002-14651858.CD001970.pub6,5,7,32,8,85,35
10.1002-14651858.MR000028.pub3,11,1,27,18,89,28
10.1002-14651858.CD015029,13,7,78,44,140,59
10.1002-14651858.CD012688.pub3,25,10,27,23,106,35
10.1002-14651858.CD000029.pub4,5,5,22,6,56,8
10.1002-14651858.CD014653,12,7,32,12,82,29
10.1002-14651858.CD004429.pub3,20,6,29,17,122,58
10.1002-14651858.CD011862.pub3,10,3,29,10,87,29
10.1002-14651858.CD010037.pub4,14,2,26,14,55,29
10.1002-14651858.CD005003.pub4,20,2,28,13,110,27
10.1002-14651858.CD002990.pub4,27,6,39,18,143,49
10.1002-14651858.CD009151.pub2,19,4,44,16,88,41
10.1002-14651858.CD013167.pub2,24,3,40,19,117,48
10.1002-14651858.CD003654.pub6,11,1,18,9,58,21
10.1002-14651858.CD013453.pub2,19,2,30,13,97,45
10.1002-14651858.CD005415.pub4,14,6,26,18,66,31
10.1002-14651858.CD013790.pub2,30,4,36,29,138,45
10.1002-14651858.CD013440.pub2,18,7,46,23,91,37
10.1002-14651858.CD013320.pub2,16,3,25,9,69,21
10.1002-14651858.CD013254.pub2,17,2,40,21,138,55
10.1002-14651858.CD013345.pub2,13,7,23,38,98,45
10.1002-14651858.CD013486.pub2,18,1,41,21,77,33
10.1002-14651858.CD003453.pub2,20,15,37,27,95,35
10.1002-14651858.CD012851.pub2,17,4,25,20,88,46
10.1002-14651858.CD010622.pub2,12,0,15,6,67,20
10.1002-14651858.CD010117.pub2,22,2,33,19,96,59
10.1002-14651858.CD000979.pub3,21,1,29,10,83,67
10.1002-14651858.CD006614.pub4,31,4,37,28,115,48
10.1002-14651858.CD012798.pub3,20,4,24,15,61,21
10.1002-14651858.CD012619.pub3,29,3,32,15,86,28
10.1002-14651858.CD013139.pub2,27,5,51,23,145,52
10.1002-14651858.CD014953.pub2,17,3,25,25,77,23
10.1002-14651858.CD002042.pub5,22,10,33,32,112,37
10.1002-14651858.CD009191.pub4,26,2,31,22,103,30
10.1002-14651858.CD002008.pub5,24,25,62,10,171,26
10.1002-14651858.CD013309.pub3,18,4,29,16,80,18
10.1002-14651858.CD006386.pub4,18,4,35,19,93,42
10.1002-14651858.CD010618.pub2,24,9,53,19,120,40
10.1002-14651858.CD008212.pub2,26,6,34,24,116,53
10.1002-14651858.CD005072.pub4,22,1,18,20,92,42
10.1002-14651858.CD012912.pub2,44,8,31,23,98,39
10.1002-14651858.CD010583.pub5,12,5,21,22,103,45
10.1002-14651858.CD013304.pub2,23,6,50,24,99,47
10.1002-14651858.CD009595.pub3,30,0,26,13,102,33
10.1002-14651858.CD008012.pub4,23,7,35,20,121,63
10.1002-14651858.CD013839.pub2,13,1,18,9,42,29
10.1002-14651858.CD012992.pub2,6,2,16,16,33,19
10.1002-14651858.CD012028.pub2,18,4,24,17,71,10
10.1002-14651858.CD009409.pub2,6,4,32,16,85,45
10.1002-14651858.CD013079.pub3,13,0,20,6,64,32
10.1002-14651858.CD013740.pub2,21,0,16,19,68,40
10.1002-14651858.CD010173.pub3,17,3,39,16,78,49
10.1002-14651858.CD012219.pub2,10,6,49,15,119,33
10.1002-14651858.CD001732.pub3,29,9,29,19,111,69
10.1002-14651858.CD015374,18,4,24,9,73,25
10.1002-14651858.CD000023.pub5,31,6,37,22,107,32
10.1002-14651858.CD010120.pub3,16,6,32,14,119,53
10.1002-14651858.CD011059.pub4,10,2,27,9,58,17
10.1002-14651858.MR000051.pub2,31,4,46,21,144,50
10.1002-14651858.CD006649.pub8,8,11,24,11,78,23
10.1002-14651858.CD004044.pub5,21,3,29,14,99,42
10.1002-14651858.CD012121.pub2,18,3,24,14,74,26
10.1002-14651858.CD013242.pub2,26,8,29,33,110,48
10.1002-14651858.CD011300.pub3,11,3,22,24,79,26
10.1002-14651858.CD013756.pub2,11,3,30,29,116,67
10.1002-14651858.CD013720.pub3,22,6,28,18,132,35
10.1002-14651858.CD010995.pub3,10,3,16,7,95,23
10.1002-14651858.CD013776.pub2,11,6,21,16,80,27
10.1002-14651858.CD013552.pub2,18,2,20,13,126,35
10.1002-14651858.CD012778.pub2,16,0,36,20,102,25
10.1002-14651858.CD013531.pub2,53,12,58,24,151,70
10.1002-14651858.CD013755.pub2,25,4,23,13,81,20
10.1002-14651858.CD007894.pub3,19,0,31,15,80,28
10.1002-14651858.CD006604.pub2,25,5,35,17,108,40
10.1002-14651858.CD013307.pub3,31,6,40,22,144,64
10.1002-14651858.CD013700.pub2,7,0,26,14,66,9
10.1002-14651858.CD009985.pub2,12,18,42,31,105,64
10.1002-14651858.CD010008.pub5,10,0,20,12,75,23
10.1002-14651858.CD004692.pub5,28,4,43,23,108,45
10.1002-14651858.CD011879.pub2,15,3,25,16,63,31
10.1002-14651858.CD013437.pub2,21,5,43,16,91,27
10.1002-14651858.CD001919.pub4,23,18,57,17,94,56
10.1002-14651858.CD011499.pub3,10,4,30,21,56,40
10.1002-14651858.CD002997.pub5,16,10,33,12,97,39
10.1002-14651858.CD005529.pub3,13,8,54,35,97,48
10.1002-14651858.CD004407.pub5,23,7,42,13,114,50
10.1002-14651858.CD000099.pub4,38,6,28,15,154,39
10.1002-14651858.CD013134.pub3,14,1,32,12,66,45
10.1002-14651858.CD000985.pub3,27,8,47,19,129,37
10.1002-14651858.CD013096.pub2,13,5,37,29,108,53
10.1002-14651858.CD008521.pub6,10,0,42,10,104,53
10.1002-14651858.CD013647.pub2,20,6,35,22,119,38
10.1002-14651858.CD013757.pub2,12,3,18,18,132,43
10.1002-14651858.CD012775.pub2,20,11,54,41,208,63
10.1002-14651858.CD004293.pub4,21,11,72,14,128,55
10.1002-14651858.CD009286.pub4,16,1,27,13,95,38
10.1002-14651858.CD007125.pub3,23,9,43,22,161,57
10.1002-14651858.CD010156.pub3,20,2,26,19,87,35
10.1002-14651858.CD008350.pub3,9,4,31,12,79,25
10.1002-14651858.CD001145.pub5,19,5,37,21,98,44
10.1002-14651858.CD012325.pub2,17,3,32,19,111,28
10.1002-14651858.CD013290.pub2,20,9,33,8,105,42
10.1002-14651858.CD013678.pub2,14,6,23,9,67,30
10.1002-14651858.CD013572.pub2,19,3,36,24,114,58
10.1002-14651858.CD013385.pub2,26,4,23,23,70,55
10.1002-14651858.CD013874.pub2,16,8,63,14,127,45
10.1002-14651858.CD001800.pub4,20,8,35,15,151,47
10.1002-14651858.CD005356.pub3,31,7,28,37,99,31
10.1002-14651858.CD012565.pub2,22,10,46,20,127,55
10.1002-14651858.CD008583.pub3,8,2,16,11,38,14
10.1002-14651858.CD013864.pub2,11,0,17,14,46,10
10.1002-14651858.CD009027.pub4,16,1,31,25,109,49
10.1002-14651858.CD013658.pub2,26,14,40,23,111,59
10.1002-14651858.CD013870.pub2,23,5,33,14,121,52
10.1002-14651858.CD013265.pub2,19,11,70,54,130,68
10.1002-14651858.CD013091.pub2,34,4,46,16,131,46
10.1002-14651858.CD006008.pub5,31,2,52,16,104,46
10.1002-14651858.CD013650.pub2,12,8,64,38,115,56
10.1002-14651858.CD007337.pub4,17,6,30,26,105,31
10.1002-14651858.CD012612.pub2,17,3,31,19,140,74
10.1002-14651858.CD000024.pub5,14,2,30,20,78,28
10.1002-14651858.CD015025,16,5,48,18,148,52
10.1002-14651858.CD001146.pub6,11,3,31,19,92,46
10.1002-14651858.CD013504.pub2,16,3,40,14,107,48
10.1002-14651858.CD005252.pub5,18,5,31,17,86,30
10.1002-14651858.CD011723.pub2,18,1,29,6,104,54
10.1002-14651858.CD012929.pub2,34,4,50,18,121,45
10.1002-14651858.CD013536.pub2,11,2,18,12,35,11
